Dataset,Target,Metric,Peak Score,95% CI,Peak Layer
SCIFACT,Doc Length,AUROC,0.9976,"[0.996, 0.999]",3
SCIFACT,Lexical Overlap,R²,0.4374,"[0.391, 0.478]",19
SCIFACT,Query TF,R²,0.4466,"[0.398, 0.491]",20
SCIFACT,BM25 Score,R²,0.7147,"[0.684, 0.740]",17
SCIFACT,BM25 Rank,R²,0.0694,"[0.021, 0.119]",17
SCIFACT,Is Relevant,AUROC,0.9709,"[0.954, 0.984]",17
SCIFACT,Rel. Label,R²,0.3022,"[0.166, 0.409]",19
NFCORPUS,Doc Length,AUROC,0.9994,"[0.999, 1.000]",1
NFCORPUS,Lexical Overlap,R²,0.7912,"[0.769, 0.811]",17
NFCORPUS,Query TF,R²,0.5516,"[0.508, 0.596]",16
NFCORPUS,BM25 Score,R²,0.8141,"[0.793, 0.833]",17
NFCORPUS,BM25 Rank,R²,0.1459,"[0.096, 0.193]",20
NFCORPUS,Is Relevant,AUROC,0.8861,"[0.858, 0.910]",17
NFCORPUS,Rel. Label,R²,0.2392,"[0.172, 0.300]",20
