layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
0,lexical_overlap,ridge,0.550343,0.53388,0.511075,0.584971,5168,1292
0,query_term_freq,ridge,0.331771,0.30804,0.272069,0.382583,5168,1292
0,bm25_score,ridge,0.54477,0.480811,0.498483,0.587431,5168,1292
0,bm25_rank,ridge,0.02219,0.027829,-0.031033,0.073091,5168,1292
0,doc_length_bucket,logistic,0.997883,0.997536,0.995801,0.99941,5168,1292
0,is_relevant,logistic,0.738101,0.701598,0.699796,0.772509,5168,1292
0,relevance_label,ridge,0.017159,-0.030513,-0.059876,0.078863,5168,1292
1,lexical_overlap,ridge,0.633769,0.615667,0.595498,0.669355,5168,1292
1,query_term_freq,ridge,0.370898,0.353166,0.319219,0.423838,5168,1292
1,bm25_score,ridge,0.677067,0.627286,0.645653,0.704562,5168,1292
1,bm25_rank,ridge,0.026789,0.024982,-0.028958,0.075824,5168,1292
1,doc_length_bucket,logistic,0.999405,0.998486,0.998791,0.999839,5168,1292
1,is_relevant,logistic,0.762991,0.737833,0.725689,0.798845,5168,1292
1,relevance_label,ridge,0.00642,-0.018005,-0.067548,0.064713,5168,1292
2,lexical_overlap,ridge,0.648556,0.632464,0.614626,0.679912,5168,1292
2,query_term_freq,ridge,0.382499,0.37703,0.33148,0.433879,5168,1292
2,bm25_score,ridge,0.671103,0.625303,0.638406,0.70045,5168,1292
2,bm25_rank,ridge,0.062924,0.03383,0.014583,0.111306,5168,1292
2,doc_length_bucket,logistic,0.999151,0.998706,0.998408,0.999702,5168,1292
2,is_relevant,logistic,0.776717,0.728284,0.738757,0.813762,5168,1292
2,relevance_label,ridge,0.054126,0.005146,-0.007209,0.111063,5168,1292
3,lexical_overlap,ridge,0.629965,0.623461,0.594859,0.661776,5168,1292
3,query_term_freq,ridge,0.405558,0.378998,0.355306,0.455909,5168,1292
3,bm25_score,ridge,0.688051,0.64247,0.655516,0.717911,5168,1292
3,bm25_rank,ridge,0.077716,0.038643,0.027389,0.122093,5168,1292
3,doc_length_bucket,logistic,0.998961,0.998083,0.997899,0.999694,5168,1292
3,is_relevant,logistic,0.770312,0.732361,0.733846,0.806424,5168,1292
3,relevance_label,ridge,0.033764,0.013923,-0.027336,0.088911,5168,1292
4,lexical_overlap,ridge,0.635286,0.632929,0.598059,0.667693,5168,1292
4,query_term_freq,ridge,0.441828,0.394905,0.391634,0.492952,5168,1292
4,bm25_score,ridge,0.705091,0.656852,0.676699,0.73307,5168,1292
4,bm25_rank,ridge,0.058518,0.042518,0.009302,0.105796,5168,1292
4,doc_length_bucket,logistic,0.999282,0.998082,0.998709,0.999746,5168,1292
4,is_relevant,logistic,0.782919,0.743221,0.74494,0.822958,5168,1292
4,relevance_label,ridge,0.037424,0.024763,-0.019551,0.08544,5168,1292
5,lexical_overlap,ridge,0.646044,0.625888,0.612504,0.676963,5168,1292
5,query_term_freq,ridge,0.450819,0.401954,0.396031,0.507794,5168,1292
5,bm25_score,ridge,0.705197,0.658834,0.677092,0.732029,5168,1292
5,bm25_rank,ridge,0.050044,0.030172,0.002852,0.098617,5168,1292
5,doc_length_bucket,logistic,0.999287,0.998122,0.998718,0.999711,5168,1292
5,is_relevant,logistic,0.773758,0.735974,0.736656,0.812357,5168,1292
5,relevance_label,ridge,0.029437,0.018173,-0.03739,0.085299,5168,1292
6,lexical_overlap,ridge,0.651941,0.629067,0.61176,0.685703,5168,1292
6,query_term_freq,ridge,0.441218,0.390125,0.387604,0.496764,5168,1292
6,bm25_score,ridge,0.703048,0.652294,0.673696,0.731526,5168,1292
6,bm25_rank,ridge,0.063609,0.053883,0.013432,0.106761,5168,1292
6,doc_length_bucket,logistic,0.999094,0.998208,0.998372,0.999642,5168,1292
6,is_relevant,logistic,0.763761,0.736078,0.723874,0.800895,5168,1292
6,relevance_label,ridge,0.008465,0.017736,-0.05006,0.05682,5168,1292
7,lexical_overlap,ridge,0.642697,0.628065,0.599653,0.677736,5168,1292
7,query_term_freq,ridge,0.430501,0.399057,0.380922,0.481809,5168,1292
7,bm25_score,ridge,0.6968,0.663267,0.665546,0.724208,5168,1292
7,bm25_rank,ridge,0.065651,0.054317,0.018833,0.11016,5168,1292
7,doc_length_bucket,logistic,0.999271,0.998369,0.998571,0.999804,5168,1292
7,is_relevant,logistic,0.749593,0.721156,0.706125,0.789878,5168,1292
7,relevance_label,ridge,0.014304,0.023077,-0.044065,0.059811,5168,1292
8,lexical_overlap,ridge,0.668804,0.64254,0.633961,0.699917,5168,1292
8,query_term_freq,ridge,0.445226,0.411507,0.395816,0.495734,5168,1292
8,bm25_score,ridge,0.711266,0.675335,0.681542,0.739311,5168,1292
8,bm25_rank,ridge,0.062389,0.062395,0.010071,0.110201,5168,1292
8,doc_length_bucket,logistic,0.998663,0.998196,0.997266,0.999647,5168,1292
8,is_relevant,logistic,0.767389,0.740956,0.725266,0.805035,5168,1292
8,relevance_label,ridge,0.052577,0.014985,-0.001797,0.099107,5168,1292
9,lexical_overlap,ridge,0.681626,0.644367,0.645286,0.711683,5168,1292
9,query_term_freq,ridge,0.432741,0.400123,0.383518,0.486767,5168,1292
9,bm25_score,ridge,0.71226,0.673722,0.684362,0.740779,5168,1292
9,bm25_rank,ridge,0.056595,0.05684,0.003613,0.1048,5168,1292
9,doc_length_bucket,logistic,0.998904,0.998376,0.997709,0.999736,5168,1292
9,is_relevant,logistic,0.768792,0.741287,0.726525,0.808619,5168,1292
9,relevance_label,ridge,0.037882,0.031796,-0.021624,0.08867,5168,1292
10,lexical_overlap,ridge,0.697682,0.67011,0.666226,0.729624,5168,1292
10,query_term_freq,ridge,0.488591,0.440344,0.433625,0.537348,5168,1292
10,bm25_score,ridge,0.731697,0.719281,0.703483,0.757307,5168,1292
10,bm25_rank,ridge,0.067239,0.081694,0.012218,0.119397,5168,1292
10,doc_length_bucket,logistic,0.998792,0.997931,0.997548,0.999644,5168,1292
10,is_relevant,logistic,0.809045,0.813936,0.770402,0.842868,5168,1292
10,relevance_label,ridge,0.072668,0.102575,-0.002282,0.131748,5168,1292
11,lexical_overlap,ridge,0.68657,0.654296,0.652602,0.716222,5168,1292
11,query_term_freq,ridge,0.473164,0.433491,0.421922,0.517701,5168,1292
11,bm25_score,ridge,0.72919,0.71036,0.698619,0.755149,5168,1292
11,bm25_rank,ridge,0.099217,0.06867,0.048534,0.148828,5168,1292
11,doc_length_bucket,logistic,0.998907,0.998015,0.998086,0.999568,5168,1292
11,is_relevant,logistic,0.817897,0.802839,0.782867,0.852108,5168,1292
11,relevance_label,ridge,0.072093,0.116822,0.006026,0.125584,5168,1292
12,lexical_overlap,ridge,0.706828,0.653859,0.671927,0.736115,5168,1292
12,query_term_freq,ridge,0.471316,0.42284,0.414868,0.52517,5168,1292
12,bm25_score,ridge,0.718172,0.701796,0.690267,0.745977,5168,1292
12,bm25_rank,ridge,0.086778,0.073872,0.031761,0.135802,5168,1292
12,doc_length_bucket,logistic,0.998799,0.997714,0.997866,0.999514,5168,1292
12,is_relevant,logistic,0.822644,0.813669,0.787582,0.856061,5168,1292
12,relevance_label,ridge,0.09006,0.122838,0.021724,0.142412,5168,1292
13,lexical_overlap,ridge,0.71196,0.674079,0.678,0.742459,5168,1292
13,query_term_freq,ridge,0.496409,0.442523,0.449474,0.544315,5168,1292
13,bm25_score,ridge,0.768845,0.737245,0.743635,0.793031,5168,1292
13,bm25_rank,ridge,0.088827,0.069457,0.036677,0.139992,5168,1292
13,doc_length_bucket,logistic,0.998617,0.998267,0.997209,0.999513,5168,1292
13,is_relevant,logistic,0.836275,0.831033,0.801523,0.870505,5168,1292
13,relevance_label,ridge,0.11446,0.166979,0.04958,0.173648,5168,1292
14,lexical_overlap,ridge,0.711318,0.685787,0.683506,0.73697,5168,1292
14,query_term_freq,ridge,0.507914,0.450869,0.460715,0.552838,5168,1292
14,bm25_score,ridge,0.783617,0.736817,0.75977,0.805716,5168,1292
14,bm25_rank,ridge,0.100475,0.084289,0.045085,0.149944,5168,1292
14,doc_length_bucket,logistic,0.998627,0.99818,0.997633,0.999477,5168,1292
14,is_relevant,logistic,0.846905,0.837334,0.81406,0.87675,5168,1292
14,relevance_label,ridge,0.148722,0.154665,0.082256,0.202425,5168,1292
15,lexical_overlap,ridge,0.758857,0.740261,0.735646,0.780283,5168,1292
15,query_term_freq,ridge,0.549398,0.50803,0.512358,0.589478,5168,1292
15,bm25_score,ridge,0.795871,0.771481,0.775049,0.817402,5168,1292
15,bm25_rank,ridge,0.100845,0.099676,0.046762,0.155384,5168,1292
15,doc_length_bucket,logistic,0.998643,0.997698,0.997704,0.999351,5168,1292
15,is_relevant,logistic,0.859659,0.856412,0.826254,0.888329,5168,1292
15,relevance_label,ridge,0.174638,0.198893,0.101608,0.235719,5168,1292
16,lexical_overlap,ridge,0.767939,0.764393,0.743412,0.791161,5168,1292
