layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
0,lexical_overlap,ridge,0.043611,-0.219443,-0.009179,0.088778,4800,1200
0,query_term_freq,ridge,0.116363,0.003718,0.058254,0.166743,4800,1200
0,bm25_score,ridge,0.078734,-0.068481,0.021804,0.129501,4800,1200
0,bm25_rank,ridge,-0.067656,-0.309132,-0.108332,-0.031869,4800,1200
0,doc_length_bucket,logistic,0.994489,0.993467,0.991626,0.9967,4800,1200
0,is_relevant,logistic,0.76223,0.631474,0.699805,0.820116,4800,1200
0,relevance_label,ridge,-0.031425,-0.27768,-0.099193,0.023408,4800,1200
1,lexical_overlap,ridge,0.12406,-0.01193,0.064651,0.172082,4800,1200
1,query_term_freq,ridge,0.218171,0.154722,0.160235,0.268167,4800,1200
1,bm25_score,ridge,0.328488,0.006851,0.272583,0.378666,4800,1200
1,bm25_rank,ridge,-0.069007,-0.295327,-0.112213,-0.028859,4800,1200
1,doc_length_bucket,logistic,0.996208,0.997508,0.994158,0.997973,4800,1200
1,is_relevant,logistic,0.776326,0.660681,0.709438,0.837963,4800,1200
1,relevance_label,ridge,-0.022233,-0.296324,-0.107789,0.049552,4800,1200
2,lexical_overlap,ridge,0.151356,0.099481,0.099967,0.197805,4800,1200
2,query_term_freq,ridge,0.223149,0.218933,0.163367,0.271672,4800,1200
2,bm25_score,ridge,0.365912,0.113132,0.315841,0.414006,4800,1200
2,bm25_rank,ridge,-0.073134,-0.120592,-0.122182,-0.03281,4800,1200
2,doc_length_bucket,logistic,0.996989,0.996168,0.995356,0.99845,4800,1200
2,is_relevant,logistic,0.784553,0.699068,0.721725,0.839561,4800,1200
2,relevance_label,ridge,0.004792,-0.115192,-0.072772,0.065801,4800,1200
3,lexical_overlap,ridge,0.132156,-0.016863,0.066057,0.20023,4800,1200
3,query_term_freq,ridge,0.237282,-0.110797,0.181809,0.282421,4800,1200
3,bm25_score,ridge,0.412616,0.281465,0.364568,0.45478,4800,1200
3,bm25_rank,ridge,-0.062744,-0.15669,-0.106448,-0.022014,4800,1200
3,doc_length_bucket,logistic,0.997558,0.996572,0.995963,0.998778,4800,1200
3,is_relevant,logistic,0.794713,0.694749,0.73208,0.842863,4800,1200
3,relevance_label,ridge,-0.010913,-0.073062,-0.085355,0.044007,4800,1200
4,lexical_overlap,ridge,0.236773,0.05674,0.187674,0.279811,4800,1200
4,query_term_freq,ridge,0.278933,0.134524,0.229991,0.324455,4800,1200
4,bm25_score,ridge,0.481508,0.404346,0.436639,0.522956,4800,1200
4,bm25_rank,ridge,-0.064942,-0.105022,-0.106518,-0.028882,4800,1200
4,doc_length_bucket,logistic,0.995908,0.997079,0.993213,0.998072,4800,1200
4,is_relevant,logistic,0.810724,0.685941,0.762448,0.855488,4800,1200
4,relevance_label,ridge,-0.0126,-0.201565,-0.096208,0.049184,4800,1200
5,lexical_overlap,ridge,0.269481,-0.567842,0.223876,0.315587,4800,1200
5,query_term_freq,ridge,0.305462,0.241654,0.2539,0.348387,4800,1200
5,bm25_score,ridge,0.541091,0.412395,0.494375,0.584711,4800,1200
5,bm25_rank,ridge,-0.080061,-0.101188,-0.120857,-0.03838,4800,1200
5,doc_length_bucket,logistic,0.996386,0.997975,0.99416,0.998316,4800,1200
5,is_relevant,logistic,0.788578,0.704646,0.729668,0.843088,4800,1200
5,relevance_label,ridge,-0.008914,-0.580353,-0.083808,0.047693,4800,1200
6,lexical_overlap,ridge,0.258428,-0.737689,0.213388,0.302027,4800,1200
6,query_term_freq,ridge,0.292737,-0.754287,0.249151,0.331821,4800,1200
6,bm25_score,ridge,0.529535,0.310699,0.481387,0.57239,4800,1200
6,bm25_rank,ridge,-0.061623,-0.587502,-0.103564,-0.023796,4800,1200
6,doc_length_bucket,logistic,0.997392,0.997898,0.995601,0.998718,4800,1200
6,is_relevant,logistic,0.770315,0.738293,0.708889,0.833016,4800,1200
6,relevance_label,ridge,0.00989,-0.044269,-0.068369,0.065587,4800,1200
7,lexical_overlap,ridge,0.262651,0.186187,0.214785,0.306798,4800,1200
7,query_term_freq,ridge,0.284361,0.232799,0.237445,0.327825,4800,1200
7,bm25_score,ridge,0.528446,0.457099,0.476749,0.569287,4800,1200
7,bm25_rank,ridge,-0.057016,-0.491573,-0.099941,-0.014365,4800,1200
7,doc_length_bucket,logistic,0.996433,0.997475,0.993747,0.998665,4800,1200
7,is_relevant,logistic,0.790918,0.752397,0.713542,0.856458,4800,1200
7,relevance_label,ridge,0.020974,-0.151706,-0.050554,0.073585,4800,1200
8,lexical_overlap,ridge,0.280013,0.096509,0.231725,0.324178,4800,1200
8,query_term_freq,ridge,0.320956,0.227589,0.276322,0.36045,4800,1200
8,bm25_score,ridge,0.563059,0.527783,0.518869,0.608484,4800,1200
8,bm25_rank,ridge,-0.056016,-0.279669,-0.098282,-0.013745,4800,1200
8,doc_length_bucket,logistic,0.997105,0.997063,0.995273,0.998702,4800,1200
8,is_relevant,logistic,0.792532,0.764132,0.724145,0.863875,4800,1200
8,relevance_label,ridge,0.030589,-0.259577,-0.043854,0.084378,4800,1200
9,lexical_overlap,ridge,0.280411,-0.213232,0.233192,0.323169,4800,1200
9,query_term_freq,ridge,0.289365,0.051831,0.229662,0.344111,4800,1200
9,bm25_score,ridge,0.550534,0.333693,0.497119,0.599826,4800,1200
9,bm25_rank,ridge,-0.041863,-0.456662,-0.086397,0.001676,4800,1200
9,doc_length_bucket,logistic,0.997083,0.996596,0.995063,0.998613,4800,1200
9,is_relevant,logistic,0.804518,0.780861,0.73752,0.86253,4800,1200
9,relevance_label,ridge,0.0616,-0.074322,-0.025774,0.118397,4800,1200
10,lexical_overlap,ridge,0.339909,-0.205579,0.293112,0.384918,4800,1200
10,query_term_freq,ridge,0.381971,0.03738,0.336345,0.421765,4800,1200
10,bm25_score,ridge,0.624536,0.553446,0.58437,0.662582,4800,1200
10,bm25_rank,ridge,-0.001663,-0.042557,-0.051196,0.045032,4800,1200
10,doc_length_bucket,logistic,0.995447,0.996735,0.992949,0.99759,4800,1200
10,is_relevant,logistic,0.8992,0.873106,0.867437,0.928937,4800,1200
10,relevance_label,ridge,0.118974,0.025559,0.023309,0.181019,4800,1200
11,lexical_overlap,ridge,0.335707,0.262157,0.286259,0.379963,4800,1200
11,query_term_freq,ridge,0.36737,-0.044211,0.321039,0.410854,4800,1200
11,bm25_score,ridge,0.61577,0.306984,0.578089,0.653411,4800,1200
11,bm25_rank,ridge,0.01422,-0.087721,-0.030832,0.05606,4800,1200
